M: 12
Instance: 1
Algorithm: NSGA-II
Iteration: 600
Population Size: 1000
Running Time: 4.415e+04 seconds
Distance; Skill Score; IsValid
11.84; 0.4692327425066125; True; 
12.82; 0.5093369580176432; True; 
15.84; 0.6618126855372619; True; 
17.13; 0.8057726319356693; True; 
18.02; 0.8140477209955996; True; 
18.63; 1.0145205387579246; True; 
18.64; 1.0659529803138703; True; 
18.65; 1.1341771075767664; True; 
18.71; 1.3653007486379867; True; 
18.75; 1.4375920322539617; True; 
19.54; 1.6407794773448572; True; 
19.62; 1.6628522332647968; True; 
20.63; 1.7052648623174047; True; 
20.64; 1.9245893856694174; True; 
23.46; 1.9604232070778291; True; 
23.56; 2.024895960107486; True; 
23.71; 2.125806458139527; True; 
24.69; 2.2442771208018435; True; 
26.61; 2.2878017299302265; True; 
27.44; 2.3864989655506523; True; 
27.7; 2.3960248966085924; True; 
28.24; 2.5375672571526753; True; 
29.44; 2.6009728956867484; True; 
29.53; 2.700530656978591; True; 
30.36; 2.7053504628857112; True; 
30.39; 2.7769915848564057; True; 
30.41; 2.8249714611236936; True; 
34.14; 2.8780044702680243; True; 
34.25; 2.9067120569429648; True; 
34.4; 2.979184033674418; True; 
35.36; 3.0549958615291413; True; 
36.21; 3.0588054866759062; True; 
36.21; 3.1592663310934945; True; 
36.34; 3.188084373714938; True; 
36.47; 3.198657086954423; True; 
37.21; 3.259354927308035; True; 
39.06; 3.262688344301697; True; 
39.19; 3.2913688504515832; True; 
40.25; 3.4281347940287894; True; 
42.95; 3.504062882678692; True; 
43.17; 3.5456781497920264; True; 
46.05; 3.6257239095257567; True; 
47.13; 3.659440781870318; True; 
47.99; 3.732393759822969; True; 
48.13; 3.7394932307816156; True; 
48.95; 3.8210547550468874; True; 
49.09; 3.849726444196328; True; 
50.04; 3.871047261305499; True; 
50.86; 3.881840968324928; True; 
50.97; 3.910571048481259; True; 
52.84; 3.9191827290425003; True; 
53.52; 3.9715077817112565; True; 
53.65; 3.9843922785242647; True; 
53.82; 4.047274867384179; True; 
53.93; 4.054613054556888; True; 
55.01; 4.116607743988249; True; 
60.67; 4.181271771559461; True; 
61.75; 4.189209489582306; True; 
61.87; 4.250663919463244; True; 
62.67; 4.254306332331286; True; 
62.67; 4.334453751150931; True; 
63.59; 4.347330015316951; True; 
64.76; 4.355259905527379; True; 
65.45; 4.3560258571931225; True; 
65.45; 4.431846045698726; True; 
65.57; 4.439016728387513; True; 
66.67; 4.450864692379766; True; 
68.45; 4.472756449317212; True; 
70.35; 4.482158695411276; True; 
70.49; 4.534787358629492; True; 
70.6; 4.541828766781312; True; 
73.73; 4.546666025070184; True; 
74.48; 4.547528576459782; True; 
76.51; 4.683407299132095; True; 
77.38; 4.713490543093942; True; 
80.24; 4.767823498007517; True; 
80.36; 4.792111409087168; True; 
82.07; 4.830203598925704; True; 
84.13; 4.84210976344061; True; 
84.25; 4.849235091314722; True; 
86.9; 4.874655732598101; True; 
87.08; 4.88024177589548; True; 
87.15; 4.887335930399167; True; 
87.88; 4.898944466866509; True; 
92.53; 4.927678264137992; True; 
93.1; 4.937718443617264; True; 
93.12; 4.9771289005806825; True; 
93.95; 5.007320952922744; True; 
94.13; 5.02938377768521; True; 
96.28; 5.048441803550404; True; 
97.06; 5.091315159697223; True; 
97.84; 5.165541076722373; True; 
100.9; 5.177536499929862; True; 
101; 5.201670179646581; True; 
107.9; 5.211654400553183; True; 
108.9; 5.235023159495223; True; 
110; 5.249442961442583; True; 
111.7; 5.2884728005997825; True; 
114.7; 5.289588952542597; True; 
114.8; 5.307496037913213; True; 
115.4; 5.344392273685111; True; 
115.7; 5.344588742578714; True; 
116.3; 5.363987829748491; True; 
116.4; 5.424391554410278; True; 
120.4; 5.480438147177817; True; 
129.5; 5.501880493755059; True; 
129.7; 5.514547752660286; True; 
130.7; 5.524525936626376; True; 
131.3; 5.537567257152675; True; 
135.2; 5.5870371177434555; True; 
135.9; 5.595385980809142; True; 
136.1; 5.617419746737177; True; 
138.7; 5.617524534886292; True; 
139.2; 5.6266482684740105; True; 
139.6; 5.64276120326532; True; 
140.1; 5.64276120326532; True; 
140.4; 5.66143405039392; True; 
140.9; 5.662380020016248; True; 
140.9; 5.722798396870905; True; 
149.6; 5.7383047930741045; True; 
152.1; 5.791480116020001; True; 
157.9; 5.825426117767823; True; 
161.6; 5.866700756042499; True; 
163.3; 5.893761762057943; True; 
164.1; 5.914290255665949; True; 
173.4; 5.947286644677798; True; 
173.9; 5.9473356759487395; True; 
175.2; 5.95525468282018; True; 
175.6; 6.001300933020418; True; 
181.3; 6.022840610876528; True; 
186.4; 6.037824750588342; True; 
186.6; 6.040206627574711; True; 
186.7; 6.054995861529141; True; 
187.4; 6.06781451116184; True; 
190.3; 6.08170727009735; True; 
191.1; 6.090610707828406; True; 
199.1; 6.142076461073285; True; 
201.7; 6.163757523981956; True; 
203.4; 6.177536499929862; True; 
207.5; 6.184975190698261; True; 
210.3; 6.193958978019187; True; 
211.9; 6.20002926655377; True; 
212.8; 6.209515014542631; True; 
215.2; 6.235528446907549; True; 
216.4; 6.244277120801843; True; 
220.9; 6.2564772062416765; True; 
226.7; 6.292034435994736; True; 
227.2; 6.302330928684399; True; 
231.5; 6.331629717629932; True; 
238.4; 6.344392273685111; True; 
239.4; 6.364738555055399; True; 
240.9; 6.3656751404559175; True; 
243.6; 6.379668034033654; True; 
246.4; 6.3886339693517895; True; 
248.7; 6.391993072259713; True; 
249.9; 6.395326393069351; True; 
252.7; 6.416141031168329; True; 
253.3; 6.420615770625765; True; 
258.7; 6.423737249982329; True; 
262.2; 6.432488255770506; True; 
263; 6.4480876666923415; True; 
265.8; 6.457427692946484; True; 
267.8; 6.4750898033890065; True; 
267.9; 6.477699928332131; True; 
269.3; 6.478710755512759; True; 
270.1; 6.480294460003006; True; 
271.9; 6.487421211359474; True; 
272.1; 6.501606922418829; True; 
272.2; 6.505421327583281; True; 
275.2; 6.506369717095504; True; 
276.8; 6.525951341248012; True; 
279.7; 6.5298151966446305; True; 
283.1; 6.532754378992498; True; 
283.6; 6.533644978798763; True; 
283.7; 6.5464192668351915; True; 
283.8; 6.559906625036112; True; 
288; 6.561339941458901; True; 
291.9; 6.564547711755948; True; 
292.7; 6.5711262770843115; True; 
294; 6.574262829707027; True; 
294.1; 6.580468783951002; True; 
299.3; 6.588719779600057; True; 
300; 6.591843411224785; True; 
300.8; 6.591954555046735; True; 
304.9; 6.610873000380051; True; 
307.7; 6.612147838326487; True; 
308.5; 6.6188844849954505; True; 
310.9; 6.625518228971638; True; 
313.1; 6.6266482684740105; True; 
313.4; 6.628695382714024; True; 
314.9; 6.6415732531781755; True; 
319.9; 6.675319983339293; True; 
325.4; 6.693463127219531; True; 
328.7; 6.698448538015329; True; 
330.7; 6.704836606211404; True; 
337.8; 6.707485011967473; True; 
338.7; 6.718169405391307; True; 
340.7; 6.729245807225307; True; 
341.2; 6.742725131304698; True; 
349.2; 6.747334109615905; True; 
351.1; 6.763278211018979; True; 
355.7; 6.764101376476229; True; 
355.8; 6.765891976430016; True; 
357.2; 6.765891976430016; True; 
359.8; 6.767452718097773; True; 
364.1; 6.807128955592422; True; 
373.2; 6.830267800933642; True; 
381.3; 6.858176137982344; True; 
386.3; 6.858657484090807; True; 
391.4; 6.859498558187776; True; 
391.9; 6.882524537954881; True; 
401.9; 6.886039275566442; True; 
403.3; 6.902220528279314; True; 
409; 6.90346982850717; True; 
411.2; 6.906442793817033; True; 
420.1; 6.912912551176097; True; 
420.2; 6.930592488442598; True; 
427.6; 6.931661239684481; True; 
428.8; 6.9527440240148985; True; 
436.7; 6.953034457250356; True; 
440.1; 6.9571761304048465; True; 
443.3; 6.976533380391938; True; 
446.3; 6.988202100258781; True; 
453.7; 7.019531684531255; True; 
469.9; 7.023663918197793; True; 
471.6; 7.02530586526477; True; 
477.9; 7.0322157032979815; True; 
478.4; 7.035829825252828; True; 
480.1; 7.065952980313869; True; 
503.6; 7.073718350346122; True; 
504.1; 7.106530853822381; True; 
520.8; 7.110252917353403; True; 
527.8; 7.116607743988248; True; 
535.3; 7.118264726089479; True; 
538.4; 7.120902817614527; True; 
540.1; 7.128399268717806; True; 
541.1; 7.132579847659737; True; 
541.7; 7.151676230847047; True; 
558.8; 7.158362492095249; True; 
559.4; 7.172894697752176; True; 
559.8; 7.198382130008294; True; 
590.4; 7.221935599828005; True; 
608.7; 7.255031163345551; True; 
628.4; 7.267875419318898; True; 
651.6; 7.270212854896243; True; 
659.6; 7.281714970027296; True; 
665.5; 7.2884728005997825; True; 
667.3; 7.308564413561239; True; 
676.8; 7.308777773664721; True; 
693.7; 7.30941722577814; True; 
694.1; 7.319314304090512; True; 
694.8; 7.3404441148401185; True; 
751.9; 7.351022852584124; True; 
766.8; 7.359456020120986; True; 
770.9; 7.395501124305626; True; 
803.3; 7.4214393902200495; True; 
