M: 14
Instance: 1
Algorithm: NSGA-II
Iteration: 700
Population Size: 1000
Running Time: 5.968e+04 seconds
Distance; Skill Score; IsValid
15.16; 0.2372923375674585; True; 
17.13; 0.5318619490958092; True; 
18.63; 0.7432745235119338; True; 
18.81; 1.3001605369513527; True; 
19.54; 1.369586890736345; True; 
20.7; 1.3718064585074163; True; 
21.56; 1.3793055177505824; True; 
21.56; 1.4545399849648195; True; 
22.79; 1.603036056250522; True; 
22.84; 1.6261349786353883; True; 
24.67; 1.7673785241141804; True; 
25.33; 2.1274287778515983; True; 
27.44; 2.409764104266346; True; 
27.57; 2.4197905861063624; True; 
29.06; 2.479719235439571; True; 
31.25; 2.5232260419657013; True; 
31.55; 2.5626496722119168; True; 
32.41; 2.6502103546603593; True; 
33.34; 2.7547304690237535; True; 
34.33; 2.8723893884178207; True; 
34.92; 2.9988258190402863; True; 
37.09; 3.2741578492636805; True; 
39.37; 3.3188977146274876; True; 
42.57; 3.3273589343863303; True; 
42.88; 3.44870631990508; True; 
45.02; 3.4714384073892983; True; 
45.73; 3.5476516583599693; True; 
47.29; 3.5853479110945905; True; 
47.84; 3.640481436970422; True; 
47.93; 3.698709349442586; True; 
48.11; 3.746712022516661; True; 
50.01; 3.7892280572673354; True; 
51.21; 3.9253636673541017; True; 
51.81; 3.997779430865604; True; 
54.64; 4.027757204690554; True; 
55.91; 4.045322978786658; True; 
55.91; 4.060320028688285; True; 
59.26; 4.100025730107863; True; 
59.53; 4.166726055580051; True; 
62.42; 4.248953615495708; True; 
62.88; 4.299942900022767; True; 
63.83; 4.364550995353971; True; 
65.59; 4.413299764081252; True; 
66.86; 4.458637849025649; True; 
67.18; 4.46553155697355; True; 
68.03; 4.486005186362242; True; 
68.7; 4.548880562637516; True; 
70.19; 4.613736141261871; True; 
71.32; 4.62654565902713; True; 
71.43; 4.630936119064192; True; 
73.41; 4.67163559660213; True; 
74.25; 4.672651922840002; True; 
75.92; 4.727947709544797; True; 
78.56; 4.734319680859008; True; 
78.77; 4.742646589938737; True; 
79.74; 4.800235789327354; True; 
80.41; 4.817102404256923; True; 
81.68; 4.847510965203249; True; 
82.49; 4.906119457545561; True; 
83.13; 4.972202838379065; True; 
85.63; 4.97483395504854; True; 
85.72; 4.997648454896206; True; 
86.34; 5.020775488193557; True; 
87.65; 5.024485667699167; True; 
88.64; 5.072984744627931; True; 
88.82; 5.077367905284156; True; 
90.37; 5.083502619830268; True; 
91.28; 5.092018470752796; True; 
91.77; 5.0948203803548004; True; 
92.75; 5.153509989300838; True; 
94.87; 5.157456768134226; True; 
94.88; 5.165244326125311; True; 
97.23; 5.166726055580051; True; 
97.56; 5.167612672727531; True; 
98.71; 5.19534605834842; True; 
99.31; 5.273001272063738; True; 
99.79; 5.326540668516563; True; 
102.7; 5.329194415088452; True; 
103; 5.334252642334231; True; 
103.5; 5.364550995353971; True; 
103.8; 5.369215857410143; True; 
105.6; 5.378579576115774; True; 
106.9; 5.383815365980432; True; 
106.9; 5.423081958297232; True; 
107.2; 5.432969290874405; True; 
108.1; 5.435685137941629; True; 
108.3; 5.4527062265110295; True; 
111.1; 5.503654519242959; True; 
114.3; 5.515343893088382; True; 
114.3; 5.520745471519483; True; 
115.3; 5.533263516778716; True; 
116.2; 5.545801757159277; True; 
116.6; 5.576571684065291; True; 
118.8; 5.603793704136963; True; 
119.2; 5.606488850442648; True; 
120.2; 5.6078837443569896; True; 
121; 5.620656479819621; True; 
121.6; 5.631849462159819; True; 
122.1; 5.710202014655385; True; 
122.4; 5.722798396870905; True; 
126.3; 5.744371227331861; True; 
127.1; 5.790707287327679; True; 
129.5; 5.802705327074353; True; 
134.5; 5.829239428141388; True; 
135; 5.833593293998456; True; 
135.1; 5.841109084468155; True; 
135.5; 5.865044721693099; True; 
136.5; 5.8786366730265165; True; 
136.6; 5.88320703335239; True; 
137.6; 5.8964711004792765; True; 
138; 5.919444210465237; True; 
140.9; 5.924434363543231; True; 
142.7; 5.9370663120174285; True; 
143.2; 5.940068013739353; True; 
143.4; 5.951871557128364; True; 
143.5; 5.962274604623314; True; 
143.8; 5.966329495163878; True; 
145.5; 5.977083120315852; True; 
145.6; 5.9882913419074875; True; 
145.7; 6.0515383905153275; True; 
146.9; 6.051923916046107; True; 
149.6; 6.06295783408451; True; 
151.1; 6.06781451116184; True; 
151.6; 6.072984744627931; True; 
152.6; 6.08278537031645; True; 
153.5; 6.087426457036285; True; 
153.7; 6.131939295210424; True; 
158.4; 6.133219456732494; True; 
159.7; 6.161966616364075; True; 
160.8; 6.17084820364331; True; 
163.6; 6.217483944213906; True; 
166.7; 6.23401081758718; True; 
167.5; 6.252367514459899; True; 
169; 6.256717745977487; True; 
169.1; 6.278982116865443; True; 
169.3; 6.28443073384452; True; 
170.8; 6.300812794118117; True; 
171.1; 6.310693312343361; True; 
175.9; 6.335457900689384; True; 
177; 6.341038631677523; True; 
177.7; 6.343802333161655; True; 
