Distance; Skill Score
11.84; 0.3744
14.72; 0.4414
16.75; 0.4479
16.78; 0.8556
18.67; 0.889
18.71; 0.9554
19.62; 0.9566
19.78; 1.162
20.64; 1.189
20.73; 1.204
23.43; 1.218
23.55; 1.237
23.71; 1.37
25.68; 1.442
27.62; 1.498
28.52; 1.602
29.51; 1.672
30.39; 1.745
31.61; 1.869
34.28; 2.006
39.31; 2.131
41.47; 2.17
42.25; 2.244
43.31; 2.261
44.31; 2.275
44.99; 2.301
47.2; 2.359
47.94; 2.406
48.69; 2.414
49.05; 2.427
52.37; 2.445
53.06; 2.5
54.11; 2.503
55.01; 2.513
55.2; 2.522
56.58; 2.55
57.03; 2.613
58.04; 2.626
59.65; 2.652
61.76; 2.655
62.6; 2.688
64.32; 2.718
64.69; 2.732
66.79; 2.734
67.08; 2.757
68.09; 2.796
69.71; 2.858
73.32; 2.862
75.32; 2.868
75.76; 2.913
76.25; 2.934
80.96; 3
83.6; 3.005
84.45; 3.015
85.35; 3.036
86.3; 3.045
87.36; 3.048
89.53; 3.071
89.82; 3.102
90.42; 3.114
96.56; 3.152
96.94; 3.165
102; 3.177
102.1; 3.18
102.6; 3.206
104.9; 3.21
105.4; 3.225
105.9; 3.227
107.1; 3.246
108; 3.257
108.4; 3.264
109; 3.276
110.4; 3.283
113.5; 3.299
114.9; 3.307
115.5; 3.311
118.4; 3.313
119.5; 3.318
120.2; 3.334
121.2; 3.353
123.1; 3.357
125; 3.372
125.4; 3.379
126.7; 3.392
128.6; 3.404
129.9; 3.445
134.1; 3.445
136; 3.453
136.4; 3.456
138.3; 3.461
140.6; 3.477
142.1; 3.483
143.9; 3.5
144.5; 3.512
149.3; 3.523
151.4; 3.547
151.5; 3.564
154.8; 3.564
157.5; 3.6
164.2; 3.602
165.6; 3.606
165.9; 3.614
167.5; 3.619
168.1; 3.63
171.8; 3.633
173.5; 3.655
174; 3.66
175.5; 3.667
178.3; 3.683
181; 3.686
181.1; 3.708
187.8; 3.71
190.3; 3.733
193; 3.746
199.1; 3.763
200; 3.765
204.2; 3.769
205.9; 3.77
206; 3.777
206.4; 3.788
209.8; 3.794
212.9; 3.799
215.2; 3.809
216.7; 3.824
222.5; 3.826
223.9; 3.826
224.1; 3.835
224.2; 3.842
226; 3.849
226.5; 3.874
234.2; 3.88
235.7; 3.887
242.3; 3.89
243.1; 3.894
244.1; 3.902
245.5; 3.908
250.8; 3.915
252.3; 3.917
252.6; 3.921
256.6; 3.926
256.9; 3.929
258.9; 3.937
259.6; 3.938
262.1; 3.938
262.3; 3.94
262.8; 3.942
264.6; 3.947
265; 3.954
265.1; 3.978
271.8; 3.979
273.4; 3.985
276.8; 3.992
282.2; 3.994
283.9; 4
284.6; 4.002
284.8; 4.004
289.7; 4.013
294; 4.024
295.4; 4.033
303.4; 4.033
304.8; 4.05
304.9; 4.063
309.9; 4.075
321.7; 4.078
323.1; 4.083
327.6; 4.085
329.5; 4.091
330.7; 4.094
332.4; 4.094
334.1; 4.096
334.2; 4.099
339.1; 4.099
340.4; 4.114
340.9; 4.118
348.9; 4.124
356.6; 4.133
360.7; 4.133
362.3; 4.137
365.1; 4.139
365.8; 4.142
366.6; 4.15
369.5; 4.171
382.2; 4.173
385; 4.189
402.8; 4.194
406.2; 4.195
407.8; 4.202
413.9; 4.214
417.9; 4.232
438.8; 4.237
447.1; 4.246
449.6; 4.254
451.1; 4.26
462.3; 4.262
464.5; 4.265
464.7; 4.266
474.3; 4.266
477.7; 4.275
479.7; 4.277
482.5; 4.279
485.5; 4.289
494.2; 4.296
517; 4.318
529.1; 4.326
531.8; 4.329
550.4; 4.331
562.1; 4.343
569.5; 4.348
579.7; 4.36
