Distance; Skill Score
11.84; 0.4692
12.82; 0.5093
15.84; 0.6618
20.64; 1.925
17.13; 0.8058
18.02; 0.814
18.63; 1.015
18.64; 1.066
18.65; 1.134
18.71; 1.365
18.75; 1.438
19.54; 1.641
19.62; 1.663
20.63; 1.705
23.46; 1.96
23.56; 2.025
23.71; 2.126
24.69; 2.244
26.61; 2.288
27.44; 2.386
27.7; 2.396
28.24; 2.538
29.44; 2.601
29.53; 2.701
30.36; 2.705
30.39; 2.777
30.41; 2.825
34.14; 2.878
34.25; 2.907
34.4; 2.979
35.36; 3.055
36.21; 3.159
36.34; 3.188
36.47; 3.199
37.21; 3.259
39.06; 3.263
39.19; 3.291
40.25; 3.428
42.95; 3.504
43.17; 3.546
46.05; 3.626
47.13; 3.659
47.99; 3.732
48.13; 3.739
48.95; 3.821
49.09; 3.85
50.04; 3.871
50.86; 3.882
50.97; 3.911
52.84; 3.919
53.52; 3.972
53.65; 3.984
53.82; 4.047
53.93; 4.055
55.01; 4.117
60.67; 4.181
61.75; 4.189
61.87; 4.251
62.67; 4.334
63.59; 4.347
64.76; 4.355
65.45; 4.432
65.57; 4.439
66.67; 4.451
68.45; 4.473
70.35; 4.482
70.49; 4.535
70.6; 4.542
73.73; 4.547
74.48; 4.548
76.51; 4.683
77.38; 4.713
80.24; 4.768
80.36; 4.792
82.07; 4.83
84.13; 4.842
84.25; 4.849
86.9; 4.875
87.08; 4.88
87.15; 4.887
87.88; 4.899
92.53; 4.928
93.1; 4.938
93.12; 4.977
93.95; 5.007
94.13; 5.029
96.28; 5.048
97.06; 5.091
97.84; 5.166
100.9; 5.178
101; 5.202
107.9; 5.212
108.9; 5.235
110; 5.249
111.7; 5.288
114.7; 5.29
114.8; 5.307
115.4; 5.344
115.7; 5.345
116.3; 5.364
116.4; 5.424
120.4; 5.48
129.5; 5.502
129.7; 5.515
130.7; 5.525
131.3; 5.538
135.2; 5.587
135.9; 5.595
136.1; 5.617
138.7; 5.618
139.2; 5.627
139.6; 5.643
140.4; 5.661
140.9; 5.723
149.6; 5.738
152.1; 5.791
157.9; 5.825
161.6; 5.867
163.3; 5.894
164.1; 5.914
173.4; 5.947
173.9; 5.947
175.2; 5.955
175.6; 6.001
181.3; 6.023
186.4; 6.038
186.6; 6.04
186.7; 6.055
187.4; 6.068
190.3; 6.082
191.1; 6.091
199.1; 6.142
201.7; 6.164
203.4; 6.178
207.5; 6.185
210.3; 6.194
211.9; 6.2
212.8; 6.21
215.2; 6.236
216.4; 6.244
220.9; 6.256
226.7; 6.292
227.2; 6.302
231.5; 6.332
238.4; 6.344
239.4; 6.365
240.9; 6.366
243.6; 6.38
246.4; 6.389
248.7; 6.392
249.9; 6.395
252.7; 6.416
253.3; 6.421
258.7; 6.424
262.2; 6.432
263; 6.448
265.8; 6.457
267.8; 6.475
267.9; 6.478
269.3; 6.479
270.1; 6.48
271.9; 6.487
272.1; 6.502
272.2; 6.505
275.2; 6.506
276.8; 6.526
279.7; 6.53
283.1; 6.533
283.6; 6.534
283.7; 6.546
283.8; 6.56
288; 6.561
291.9; 6.565
292.7; 6.571
294; 6.574
294.1; 6.58
299.3; 6.589
300; 6.592
300.8; 6.592
304.9; 6.611
307.7; 6.612
308.5; 6.619
310.9; 6.626
313.1; 6.627
313.4; 6.629
314.9; 6.642
319.9; 6.675
325.4; 6.693
328.7; 6.698
330.7; 6.705
337.8; 6.707
338.7; 6.718
340.7; 6.729
341.2; 6.743
349.2; 6.747
351.1; 6.763
355.7; 6.764
355.8; 6.766
359.8; 6.767
364.1; 6.807
373.2; 6.83
381.3; 6.858
386.3; 6.859
391.4; 6.859
391.9; 6.883
401.9; 6.886
403.3; 6.902
409; 6.903
411.2; 6.906
420.1; 6.913
420.2; 6.931
427.6; 6.932
428.8; 6.953
436.7; 6.953
440.1; 6.957
443.3; 6.977
446.3; 6.988
453.7; 7.02
469.9; 7.024
471.6; 7.025
477.9; 7.032
478.4; 7.036
480.1; 7.066
503.6; 7.074
504.1; 7.107
520.8; 7.11
527.8; 7.117
535.3; 7.118
538.4; 7.121
540.1; 7.128
541.1; 7.133
541.7; 7.152
558.8; 7.158
559.4; 7.173
559.8; 7.198
590.4; 7.222
608.7; 7.255
628.4; 7.268
651.6; 7.27
659.6; 7.282
665.5; 7.288
667.3; 7.309
676.8; 7.309
693.7; 7.309
694.1; 7.319
694.8; 7.34
751.9; 7.351
766.8; 7.359
770.9; 7.396
803.3; 7.421
831.9; 7.448
859.8; 7.455
927.8; 7.455
928.6; 7.456
940.9; 7.461
941; 7.465
949.6; 7.481
956.1; 7.49
1011; 7.504
1022; 7.513
1047; 7.536
