Distance; Skill Score
8.886; 0.3952
11.85; 0.6114
16.81; 1.055
20.76; 1.215
15.16; 0.6214
15.64; 0.9037
15.67; 1.032
19.61; 1.086
19.78; 1.117
20.57; 1.13
20.61; 1.141
20.67; 1.184
23.33; 1.264
24.52; 1.281
24.61; 1.335
25.34; 1.41
25.57; 1.433
25.58; 1.46
29.35; 1.49
29.52; 1.513
30.39; 1.561
30.54; 1.565
31.54; 1.618
31.61; 1.659
36.25; 1.793
41.21; 1.814
41.25; 1.832
41.32; 1.868
42.32; 1.899
44.36; 1.948
46.97; 1.972
47.87; 1.974
50.98; 2.005
53.14; 2.026
53.85; 2.055
55.02; 2.086
57.08; 2.106
58.83; 2.115
59.45; 2.126
59.5; 2.128
60.59; 2.13
61.16; 2.159
61.44; 2.18
62.46; 2.181
63.48; 2.19
66.82; 2.212
68.72; 2.231
71.65; 2.252
73.25; 2.286
75.58; 2.317
76.96; 2.325
79.08; 2.336
79.93; 2.357
86.66; 2.362
87.03; 2.364
87.35; 2.375
89.21; 2.377
90.64; 2.395
92.32; 2.403
92.66; 2.413
92.7; 2.414
92.71; 2.417
93.03; 2.434
96.03; 2.436
97.38; 2.453
97.72; 2.455
103.2; 2.465
105.1; 2.472
105.4; 2.48
108.2; 2.491
109.4; 2.511
112.1; 2.513
112.7; 2.53
115; 2.532
115.5; 2.534
116.7; 2.542
118; 2.551
125.2; 2.571
129.1; 2.582
130.1; 2.59
131.7; 2.602
134.1; 2.611
137.1; 2.623
142.8; 2.623
145; 2.63
146.1; 2.631
146.3; 2.634
147.2; 2.642
148.2; 2.65
150.4; 2.654
151.9; 2.663
152.2; 2.669
154.6; 2.675
155.4; 2.682
158.4; 2.683
158.5; 2.69
161.8; 2.694
168; 2.702
169.6; 2.714
173.3; 2.723
177.3; 2.735
179.2; 2.742
184.1; 2.753
194.2; 2.759
194.4; 2.761
199.2; 2.771
200; 2.779
202.5; 2.79
214; 2.79
214.9; 2.794
217.9; 2.801
220.4; 2.807
222.4; 2.808
227.4; 2.815
231; 2.819
233.3; 2.826
248.6; 2.831
256.9; 2.833
257.4; 2.837
259.4; 2.838
262.1; 2.844
266.4; 2.855
284.2; 2.858
295.1; 2.867
296.4; 2.867
304.5; 2.87
