Distance; Skill Score
714; 9.009
714.3; 9.016
720.8; 9.02
722.7; 9.062
725.1; 9.066
733.8; 9.086
733.9; 9.09
735.9; 9.104
742.3; 9.126
742.8; 9.138
778.9; 9.183
794.4; 9.2
803.7; 9.224
816.2; 9.288
839.3; 9.306
855.5; 9.313
856.7; 9.313
863.3; 9.34
865.6; 9.351
877.6; 9.366
904.7; 9.373
904.8; 9.406
919.3; 9.415
921.2; 9.435
922.8; 9.477
959.4; 9.494
972.6; 9.504
989.5; 9.524
995.3; 9.592
1048; 9.598
1050; 9.616
1074; 9.662
1103; 9.662
1110; 9.684
1121; 9.763
1166; 9.79
1202; 9.797
1219; 9.81
1225; 9.821
1238; 9.828
1327; 9.881
1408; 9.893
1435; 9.916
1491; 9.965
1539; 9.968
1601; 10.02
1734; 10.1
