Distance; Skill Score
216.5; 7.062
218.6; 7.078
219.7; 7.082
221.1; 7.091
222.2; 7.103
223.7; 7.124
224; 7.187
226.5; 7.198
228; 7.2
228.6; 7.212
230.5; 7.233
231.1; 7.264
234.4; 7.269
236.5; 7.271
237.3; 7.301
238; 7.31
238.1; 7.349
239.2; 7.381
243.1; 7.385
245.5; 7.434
246.2; 7.434
247.6; 7.449
250.6; 7.491
255.2; 7.498
256.9; 7.532
258.5; 7.547
261; 7.552
261.8; 7.59
262.5; 7.606
264.9; 7.615
267.4; 7.634
269.1; 7.671
273.3; 7.68
273.6; 7.683
274.1; 7.697
275.5; 7.701
275.6; 7.714
276.3; 7.74
277.3; 7.763
281.7; 7.769
282.4; 7.821
286.6; 7.835
287.6; 7.839
290.1; 7.846
291.2; 7.904
295.1; 7.919
297.4; 7.923
298.1; 7.925
298.4; 7.933
300.5; 7.949
303.4; 7.963
303.5; 7.998
305.6; 8.015
307.1; 8.021
310.1; 8.037
313.1; 8.079
316.9; 8.08
318.1; 8.081
318.4; 8.085
319.2; 8.122
321.5; 8.134
324.4; 8.166
328.7; 8.17
329.9; 8.201
331.4; 8.209
332.4; 8.22
333.1; 8.231
333.7; 8.263
338.3; 8.296
343.6; 8.317
346.5; 8.341
350.1; 8.341
352.3; 8.384
353.1; 8.391
354.1; 8.395
356.2; 8.398
359.2; 8.438
365.4; 8.461
366.4; 8.492
368.6; 8.507
373.4; 8.557
377.2; 8.566
378.9; 8.575
382.5; 8.593
383.7; 8.608
384.1; 8.625
388.6; 8.643
390.7; 8.646
393.6; 8.651
394.9; 8.663
396; 8.67
398.2; 8.698
399.4; 8.699
399.7; 8.707
401.5; 8.718
403.2; 8.726
404.3; 8.745
407.4; 8.753
407.6; 8.755
413.5; 8.782
414.6; 8.79
416.4; 8.817
419.3; 8.837
421.3; 8.841
422.3; 8.842
423.4; 8.869
430.4; 8.872
430.7; 8.911
437.2; 8.914
437.7; 8.941
442.4; 8.964
448.3; 8.994
448.9; 9.008
449.2; 9.011
452; 9.013
454.3; 9.013
454.4; 9.043
455.1; 9.046
458.1; 9.053
462.4; 9.061
465.9; 9.066
466.5; 9.076
467.2; 9.09
469.4; 9.092
470.3; 9.093
470.6; 9.107
472.2; 9.114
474.1; 9.12
474.3; 9.142
477.4; 9.147
481.5; 9.162
481.7; 9.175
486.6; 9.202
491.3; 9.229
495.1; 9.232
499.6; 9.236
500.4; 9.25
501.3; 9.291
507.2; 9.299
507.5; 9.331
518.3; 9.341
521.5; 9.346
521.8; 9.348
523.1; 9.354
526.1; 9.366
527.1; 9.373
529; 9.391
530.2; 9.408
538.5; 9.418
539.2; 9.443
542.4; 9.458
550; 9.468
553.6; 9.492
557.2; 9.504
559.9; 9.505
560.3; 9.536
560.7; 9.555
572.3; 9.575
577; 9.587
580; 9.604
584; 9.606
584.9; 9.618
587.2; 9.648
600.3; 9.659
601.2; 9.663
602.5; 9.665
608.3; 9.695
615.8; 9.696
616.1; 9.715
617.3; 9.748
620.5; 9.753
627.8; 9.755
630.9; 9.777
631.7; 9.779
632.1; 9.797
643.5; 9.811
644.9; 9.83
645.2; 9.85
655.7; 9.876
670.3; 9.878
673.4; 9.907
678.3; 9.916
681.6; 9.943
686.5; 9.949
692.6; 9.961
693.4; 9.967
699.7; 9.968
704; 10.02
708.5; 10.03
711.4; 10.04
720.9; 10.05
723.1; 10.05
725.9; 10.06
732; 10.07
733.7; 10.08
740.2; 10.1
743.3; 10.11
754.6; 10.16
760.6; 10.16
767.2; 10.17
774.1; 10.21
784.3; 10.21
784.6; 10.22
791.3; 10.26
805.7; 10.27
807; 10.28
819.2; 10.3
825.1; 10.31
827.2; 10.34
845.9; 10.36
850.1; 10.39
866.4; 10.39
873.1; 10.41
877.2; 10.42
879; 10.43
883.7; 10.43
896.8; 10.48
914.3; 10.49
916.9; 10.49
921.4; 10.5
926.6; 10.51
929; 10.54
953.7; 10.54
962.7; 10.55
970.4; 10.56
977.7; 10.61
995.5; 10.65
1011; 10.65
1024; 10.69
1029; 10.69
1040; 10.69
1070; 10.75
1098; 10.78
1099; 10.79
1114; 10.83
1123; 10.83
1163; 10.89
1180; 10.91
1246; 10.93
1273; 10.93
1280; 11.01
1337; 11.01
1338; 11.02
1339; 11.06
1404; 11.08
1436; 11.16
1518; 11.31
1698; 11.32
1812; 11.37
1915; 11.38
1923; 11.42
