Distance; Skill Score
33.53; -0.3749
34.28; 0.5207
38.53; 0.8452
39.2; 0.9785
40.36; 1.066
41.03; 1.253
44.99; 1.757
48.02; 2.001
50.86; 2.342
54.05; 2.347
54.75; 2.686
57.91; 2.813
61.05; 2.821
62.54; 3.014
64.64; 3.015
65.76; 3.028
66.39; 3.109
67.65; 3.159
69.39; 3.26
71.61; 3.291
71.91; 3.333
73.19; 3.382
73.52; 3.57
76.33; 3.665
76.72; 3.698
77.28; 3.701
77.59; 3.862
80.13; 3.966
80.14; 3.988
83.81; 4.004
84.09; 4.037
85.76; 4.042
87.27; 4.161
87.58; 4.214
90.29; 4.224
91.27; 4.239
92.61; 4.297
94.54; 4.344
96.1; 4.353
96.16; 4.37
96.22; 4.376
97.13; 4.43
98.91; 4.459
99.37; 4.564
100.3; 4.574
101.3; 4.577
101.5; 4.585
102.1; 4.645
102.2; 4.651
103.3; 4.716
103.9; 4.732
105.3; 4.761
105.6; 4.918
109.3; 4.972
110.2; 5.019
112.2; 5.035
115.1; 5.049
115.4; 5.063
118.7; 5.217
121.2; 5.227
123.1; 5.253
124; 5.281
124.9; 5.311
125; 5.331
125.8; 5.341
126.1; 5.365
128.1; 5.369
128.8; 5.423
129.6; 5.427
129.8; 5.441
129.9; 5.478
130; 5.53
133.9; 5.592
135.3; 5.609
136; 5.635
137.2; 5.733
137.7; 5.734
140.9; 5.786
143.8; 5.805
144.7; 5.835
145.2; 5.894
150.5; 5.898
151; 5.955
152.6; 5.971
153.6; 5.983
154.8; 5.993
155; 6.041
156.1; 6.045
157.4; 6.077
157.5; 6.092
158.7; 6.11
159.3; 6.154
159.4; 6.158
160.5; 6.186
162.5; 6.21
164.3; 6.223
165; 6.24
165.4; 6.272
167.3; 6.28
168.3; 6.283
168.6; 6.285
169.1; 6.305
169.3; 6.347
170.5; 6.398
174.6; 6.447
176; 6.471
178; 6.505
179.7; 6.507
180.3; 6.574
183.5; 6.59
186; 6.597
187.9; 6.606
188.8; 6.618
189.7; 6.629
189.8; 6.651
190.2; 6.689
191.8; 6.707
191.9; 6.746
192.4; 6.755
195.7; 6.769
198.1; 6.777
198.8; 6.8
200.2; 6.805
201; 6.825
201.8; 6.834
202.2; 6.857
202.7; 6.862
203.9; 6.901
204.8; 6.936
206; 6.944
208.9; 6.976
210.8; 6.987
212.1; 6.987
212.5; 6.995
214.2; 7.021
215.3; 7.027
