Distance; Skill Score
15.16; 0.2373
17.13; 0.5319
18.63; 0.7433
18.81; 1.3
19.54; 1.37
20.7; 1.372
21.56; 1.455
22.79; 1.603
22.84; 1.626
24.67; 1.767
25.33; 2.127
27.44; 2.41
27.57; 2.42
29.06; 2.48
31.25; 2.523
31.55; 2.563
32.41; 2.65
33.34; 2.755
34.33; 2.872
34.92; 2.999
37.09; 3.274
39.37; 3.319
42.57; 3.327
42.88; 3.449
45.02; 3.471
45.73; 3.548
47.29; 3.585
47.84; 3.64
47.93; 3.699
48.11; 3.747
50.01; 3.789
51.21; 3.925
51.81; 3.998
54.64; 4.028
55.91; 4.06
59.26; 4.1
59.53; 4.167
62.42; 4.249
62.88; 4.3
63.83; 4.365
65.59; 4.413
66.86; 4.459
67.18; 4.466
68.03; 4.486
68.7; 4.549
70.19; 4.614
71.32; 4.627
71.43; 4.631
73.41; 4.672
74.25; 4.673
75.92; 4.728
78.56; 4.734
78.77; 4.743
79.74; 4.8
80.41; 4.817
81.68; 4.848
82.49; 4.906
83.13; 4.972
85.63; 4.975
85.72; 4.998
86.34; 5.021
87.65; 5.024
88.64; 5.073
88.82; 5.077
90.37; 5.084
91.28; 5.092
91.77; 5.095
92.75; 5.154
94.87; 5.157
94.88; 5.165
97.23; 5.167
97.56; 5.168
98.71; 5.195
99.31; 5.273
99.79; 5.327
102.7; 5.329
103; 5.334
103.5; 5.365
103.8; 5.369
105.6; 5.379
106.9; 5.423
107.2; 5.433
108.1; 5.436
108.3; 5.453
111.1; 5.504
114.3; 5.521
115.3; 5.533
116.2; 5.546
116.6; 5.577
118.8; 5.604
119.2; 5.606
120.2; 5.608
121; 5.621
121.6; 5.632
122.1; 5.71
122.4; 5.723
126.3; 5.744
127.1; 5.791
129.5; 5.803
134.5; 5.829
135; 5.834
135.1; 5.841
135.5; 5.865
136.5; 5.879
136.6; 5.883
137.6; 5.896
138; 5.919
140.9; 5.924
142.7; 5.937
143.2; 5.94
143.4; 5.952
143.5; 5.962
143.8; 5.966
145.5; 5.977
145.6; 5.988
145.7; 6.052
146.9; 6.052
149.6; 6.063
151.1; 6.068
151.6; 6.073
152.6; 6.083
153.5; 6.087
153.7; 6.132
158.4; 6.133
159.7; 6.162
160.8; 6.171
163.6; 6.217
166.7; 6.234
167.5; 6.252
169; 6.257
169.1; 6.279
169.3; 6.284
170.8; 6.301
171.1; 6.311
175.9; 6.335
177; 6.341
177.7; 6.344
177.9; 6.349
178.1; 6.359
178.7; 6.365
178.8; 6.381
181.4; 6.397
182.7; 6.4
182.9; 6.416
187.4; 6.438
188.1; 6.443
189.2; 6.46
191; 6.469
191.2; 6.481
193.6; 6.482
195.1; 6.497
195.3; 6.506
195.6; 6.52
197; 6.524
197.2; 6.528
198.2; 6.56
203.1; 6.578
206.2; 6.599
206.9; 6.603
207.1; 6.615
208.6; 6.624
209.5; 6.63
211.3; 6.633
212.1; 6.653
214.5; 6.663
215.5; 6.666
216.1; 6.688
216.9; 6.696
217.4; 6.702
221.7; 6.716
223.3; 6.722
223.4; 6.729
225.2; 6.741
227.3; 6.749
227.5; 6.777
230.2; 6.78
233.3; 6.784
233.4; 6.794
234.3; 6.804
235.3; 6.807
236.7; 6.818
238.4; 6.824
239.4; 6.831
239.5; 6.836
241.9; 6.845
242.3; 6.869
244.3; 6.886
245.6; 6.894
249.4; 6.908
249.8; 6.915
251.5; 6.915
251.9; 6.94
255.2; 6.948
256.7; 6.948
258.5; 6.973
259.4; 6.977
263.6; 6.982
264.5; 6.985
266.3; 6.986
266.5; 6.989
267.8; 6.99
268.4; 7.029
272.6; 7.051
274.1; 7.053
278.6; 7.06
279.3; 7.076
280.4; 7.093
281.6; 7.105
282.4; 7.114
287.7; 7.141
290.8; 7.146
291; 7.151
293.6; 7.154
294.7; 7.165
297.5; 7.171
298.5; 7.178
298.7; 7.2
304.6; 7.201
305.7; 7.204
307.5; 7.214
309.2; 7.228
311.8; 7.245
313.1; 7.274
322.7; 7.282
323; 7.293
323.6; 7.299
325.2; 7.304
325.9; 7.313
326.8; 7.328
330.7; 7.357
336.8; 7.362
338; 7.365
339.6; 7.372
340.3; 7.372
341.8; 7.393
349; 7.401
351.2; 7.413
355.9; 7.418
357.8; 7.421
359.7; 7.429
363.7; 7.438
