Distance; Skill Score
22.67; -0.6424
24.56; -0.4878
33.45; 0.4312
34.47; 0.4417
34.48; 0.4784
35.31; 0.6085
37.31; 0.7086
38.26; 0.8345
39.43; 1.281
47.01; 1.421
49.11; 1.515
49.12; 1.598
52.8; 1.667
52.96; 1.716
53.16; 1.717
53.17; 1.935
55.08; 1.956
55.15; 2.096
56; 2.138
57.04; 2.178
57.11; 2.212
61.98; 2.228
63.69; 2.239
63.94; 2.261
63.95; 2.317
64.01; 2.367
64.56; 2.4
67.56; 2.413
68.38; 2.422
68.49; 2.447
68.76; 2.448
68.96; 2.486
69; 2.523
70.05; 2.6
70.84; 2.698
72.59; 2.775
72.69; 2.777
73.73; 2.867
74.64; 2.915
75.68; 2.933
77.46; 2.964
79.55; 2.971
79.58; 2.98
83.78; 2.992
85.24; 3.025
85.28; 3.048
85.6; 3.077
86.87; 3.1
87.59; 3.164
89.5; 3.194
90.35; 3.238
90.42; 3.257
90.6; 3.309
91.27; 3.33
91.34; 3.348
91.53; 3.353
92.24; 3.395
93.17; 3.397
93.3; 3.401
93.4; 3.452
95.31; 3.5
96.06; 3.501
98.01; 3.52
98.98; 3.547
101.1; 3.603
105.7; 3.62
107.6; 3.634
108.4; 3.649
109; 3.684
109.3; 3.719
110; 3.722
110.2; 3.758
111.6; 3.758
111.9; 3.774
112.1; 3.854
112.9; 3.865
113.6; 3.889
114.3; 3.896
114.4; 3.917
114.8; 3.958
115.8; 3.98
118.4; 3.987
118.8; 3.996
119.3; 4.015
119.5; 4.029
121; 4.031
123.4; 4.073
126.5; 4.082
126.8; 4.089
127.3; 4.095
128.7; 4.164
131.3; 4.171
132.3; 4.199
133.3; 4.207
133.8; 4.21
133.9; 4.25
134.4; 4.312
136.6; 4.334
137.4; 4.343
138.8; 4.378
138.9; 4.4
139.7; 4.404
140.1; 4.414
141; 4.418
143.7; 4.424
144.2; 4.436
145.5; 4.444
145.6; 4.449
145.7; 4.451
145.9; 4.47
149.2; 4.477
149.5; 4.478
149.6; 4.487
150.7; 4.492
150.9; 4.518
151.3; 4.518
151.9; 4.526
152.1; 4.526
153.9; 4.545
154.6; 4.579
156.1; 4.587
157.8; 4.609
159.1; 4.656
160.1; 4.665
160.4; 4.732
161.7; 4.732
162.5; 4.743
164.5; 4.764
166.4; 4.764
167; 4.778
167.1; 4.792
167.6; 4.811
168.5; 4.816
171.3; 4.85
175.5; 4.863
176.3; 4.872
176.5; 4.873
178.3; 4.892
179.5; 4.909
181.5; 4.913
181.8; 4.914
182.8; 4.956
183.9; 4.965
184.3; 4.98
185.7; 5.001
186; 5.011
187; 5.059
188; 5.082
188.8; 5.1
191.2; 5.128
194.9; 5.15
198.3; 5.154
198.9; 5.157
199.6; 5.165
201.6; 5.173
202.4; 5.183
202.7; 5.194
204.9; 5.194
205.7; 5.201
206.3; 5.202
207.1; 5.209
207.7; 5.213
208.8; 5.241
210.3; 5.275
211.1; 5.286
211.6; 5.324
216.5; 5.334
216.7; 5.344
217.3; 5.347
217.4; 5.405
221.1; 5.43
222; 5.465
