Distance; Skill Score
11.84; 0.5447
12.82; 0.5957
15.84; 0.8603
23.46; 1.95
16.6; 1.066
16.79; 1.087
18.64; 1.102
18.71; 1.397
19.54; 1.666
20.63; 1.706
20.64; 1.906
26.61; 1.976
27.31; 2.107
27.57; 2.197
28.37; 2.342
28.46; 2.349
29.51; 2.373
30.26; 2.455
30.27; 2.492
30.57; 2.589
31.32; 2.6
33.34; 2.725
34.28; 2.73
35.25; 2.767
35.87; 2.813
36.27; 2.862
37.21; 2.898
40.05; 2.91
40.25; 2.92
41.07; 2.991
41.18; 3.027
41.29; 3.029
41.41; 3.045
41.89; 3.05
42.15; 3.136
43.17; 3.169
44.35; 3.27
45.76; 3.315
48.07; 3.343
48.51; 3.394
48.69; 3.433
50.82; 3.447
50.86; 3.492
50.97; 3.516
54.91; 3.58
55.75; 3.596
56.93; 3.596
57.89; 3.657
59.64; 3.691
59.98; 3.691
60.05; 3.714
60.37; 3.736
61.32; 3.759
62.1; 3.8
63.32; 3.854
65.6; 3.91
67.57; 3.927
68.67; 3.943
69.71; 3.967
70.04; 3.991
71.05; 3.993
71.22; 4.007
75.5; 4.049
76.92; 4.077
77.92; 4.077
78.07; 4.087
78.7; 4.141
79.63; 4.144
79.94; 4.147
81.32; 4.151
81.33; 4.198
82.07; 4.22
84.13; 4.234
84.25; 4.237
85.88; 4.29
86.3; 4.31
87.68; 4.361
88.8; 4.375
89.82; 4.377
95.67; 4.38
96.19; 4.414
97.31; 4.429
97.57; 4.434
99.62; 4.457
100.7; 4.469
102; 4.489
102.7; 4.511
103.9; 4.514
104.5; 4.527
105.6; 4.581
107.9; 4.604
108.4; 4.652
116.8; 4.69
120.4; 4.717
123.1; 4.748
125.7; 4.755
127; 4.762
127.1; 4.768
128; 4.807
129; 4.815
129.6; 4.843
131.5; 4.858
137.5; 4.889
141.6; 4.896
141.8; 4.904
146.1; 4.905
146.3; 4.939
148.6; 4.942
149.6; 4.971
151.2; 4.981
152.1; 4.997
153.1; 5.029
155.5; 5.032
161.2; 5.035
161.6; 5.069
166.9; 5.077
171.6; 5.082
171.7; 5.1
173; 5.101
173.1; 5.104
174.6; 5.11
174.7; 5.127
175.5; 5.13
175.6; 5.141
176.6; 5.148
177.6; 5.15
178.1; 5.158
180.8; 5.191
188.1; 5.201
188.4; 5.206
190.1; 5.214
190.5; 5.222
197.5; 5.224
198.8; 5.233
198.9; 5.237
199; 5.238
200.1; 5.253
200.9; 5.26
203; 5.262
203.4; 5.271
204.3; 5.291
206.2; 5.304
212.1; 5.326
216.4; 5.328
217.8; 5.335
218.8; 5.338
219.1; 5.345
220.4; 5.348
223.6; 5.357
226; 5.359
227.3; 5.362
228.3; 5.37
229.7; 5.386
230.7; 5.403
237.8; 5.404
239.2; 5.407
240.3; 5.414
241; 5.419
241.9; 5.427
244.6; 5.439
246; 5.451
250.4; 5.453
252.3; 5.467
257.6; 5.481
261.9; 5.486
264.4; 5.498
267.9; 5.5
269.6; 5.506
270.2; 5.507
270.9; 5.508
273.3; 5.515
273.9; 5.528
277.3; 5.529
280; 5.535
282.7; 5.552
284.6; 5.57
285.1; 5.575
292.4; 5.577
292.8; 5.586
299.1; 5.587
299.7; 5.596
301.5; 5.609
304.2; 5.611
306.8; 5.617
314.6; 5.618
316.1; 5.634
317.2; 5.663
322.3; 5.68
330.9; 5.684
338.6; 5.692
338.7; 5.7
345.9; 5.704
348.3; 5.712
353; 5.722
360.6; 5.728
363.9; 5.736
366; 5.753
379.2; 5.765
387.9; 5.766
388.4; 5.784
397.4; 5.789
400.5; 5.794
408.1; 5.795
410.6; 5.796
411.6; 5.812
413.8; 5.816
417.8; 5.828
421.6; 5.831
424.2; 5.834
424.6; 5.839
435.8; 5.85
435.9; 5.853
440.7; 5.863
451.6; 5.871
454; 5.879
464.1; 5.882
468.8; 5.887
474; 5.903
480.6; 5.909
488.1; 5.914
491.8; 5.927
495.3; 5.934
503.9; 5.939
510.3; 5.946
520.2; 5.95
526.1; 5.955
528.5; 5.969
535.9; 5.974
538.6; 5.988
557.2; 5.988
562; 5.989
564.8; 5.994
567.5; 6.007
573.7; 6.009
573.9; 6.013
579.9; 6.02
599.7; 6.034
609.9; 6.037
629.9; 6.05
633.6; 6.063
674.5; 6.064
676.3; 6.066
678.4; 6.067
688.7; 6.071
692; 6.094
707.7; 6.099
731.1; 6.105
737.8; 6.119
752.4; 6.13
