M: 12
Instance: 1
Algorithm: MOSA
Iteration: 600000
T: 100 
Running Time: 301.4 seconds
Distance; Skill Score; IsValid
11.84; 0.4692327425066125; True; 
12.82; 0.5093369580176432; True; 
15.84; 0.6618126855372619; True; 
18.69; 1.0297894708318562; True; 
18.76; 1.2469906992415503; True; 
20.64; 1.9245893856694174; True; 
28.59; 1.9343974407809874; True; 
28.69; 1.9566005882131758; True; 
29.48; 2.0923696996291206; True; 
31.34; 2.2837533833325274; True; 
33.45; 2.3414345245781405; True; 
33.59; 2.3963737275365062; True; 
38.15; 2.6771505212734326; True; 
45.21; 2.694166295933199; True; 
49.06; 3.2372923375674585; True; 
64.7; 3.416640507338281; True; 
87.65; 3.4739246934161567; True; 
87.72; 3.55942779975949; True; 
89.83; 4.046104787246039; True; 
132; 4.106870544478654; True; 
143; 4.116607743988249; True; 
156.3; 4.23578087032756; True; 
159.6; 4.278524964737017; True; 
160.1; 4.489958479424835; True; 
174.7; 4.671358003443491; True; 
179.9; 4.73925580326851; True; 
258.4; 4.7737864449811935; True; 
261.5; 5.18098558078673; True; 
352.6; 5.304059466217599; True; 
414.1; 5.334453751150931; True; 
424.2; 5.3697722885969625; True; 
437.6; 5.488409688903198; True; 
494.8; 5.505963518018126; True; 
549.8; 5.506505032404872; True; 
557.7; 5.700011062322113; True; 
628.7; 5.82288694783415; True; 
699; 5.871572935545879; True; 
768.5; 6.080987046910887; True; 
868.2; 6.090258052931317; True; 
924.3; 6.109915863023793; True; 
946; 6.1328997699444825; True; 
951.2; 6.138302698166282; True; 
986.7; 6.14705767102836; True; 
999.3; 6.186108379813205; True; 
1040; 6.19200959265367; True; 
1046; 6.222716471147583; True; 
1084; 6.320354032817672; True; 
1125; 6.537944959291487; True; 
