M: 6
Instance: 1
Algorithm: MOSA
Iteration: 300000
T: 100 
Running Time: 51.26 seconds
Distance; Skill Score; IsValid
8.886; 0.3951515915045425; True; 
11.85; 0.6114046377115931; True; 
15.68; 0.8057047044338645; True; 
16.78; 0.8389749549554679; True; 
16.81; 1.0553783313750005; True; 
20.65; 1.1408221801093106; True; 
20.72; 1.183554533618862; True; 
20.76; 1.215373152783422; True; 
28.64; 1.2187979981117376; True; 
29.1; 1.3117538610557542; True; 
29.38; 1.4097641042663458; True; 
30.49; 1.4154741681092355; True; 
33.44; 1.4628470358316736; True; 
35.05; 1.4902394852462875; True; 
35.38; 1.5612206789339433; True; 
42.9; 1.5650209283452936; True; 
43.13; 1.5666731376061165; True; 
43.15; 1.6555225962534177; True; 
44.73; 1.65915528094063; True; 
45.26; 1.6604860157849677; True; 
49.99; 1.6812412373755876; True; 
50.93; 1.712397131406715; True; 
50.97; 1.7480328941301435; True; 
51.1; 1.8324450411741111; True; 
58.89; 1.8949249773595431; True; 
68; 1.9060655447552373; True; 
68.67; 1.9592799501309388; True; 
72.05; 2.001300933020418; True; 
78.53; 2.0557604646877348; True; 
91.24; 2.061452479087193; True; 
95.91; 2.1280760126687155; True; 
106.7; 2.154119525515847; True; 
113.5; 2.1646502159342966; True; 
115.7; 2.1696744340588068; True; 
118.8; 2.2278867046136734; True; 
119.7; 2.2412973871099933; True; 
124.2; 2.26528962586083; True; 
129.9; 2.266231696689893; True; 
135; 2.2725377773752373; True; 
136.3; 2.2810333672477277; True; 
141.6; 2.286905352972375; True; 
144.4; 2.319314304090512; True; 
162.9; 2.335858911319818; True; 
163.6; 2.345765693114488; True; 
166.8; 2.3679147387937527; True; 
170.4; 2.39375064034808; True; 
174.5; 2.485011214578573; True; 
202.6; 2.496376054012401; True; 
211; 2.51241754860084; True; 
233.5; 2.534406899137877; True; 
247.2; 2.5634810853944106; True; 
285.8; 2.6710802327388494; True; 
