M: 14
Instance: 1
Algorithm: MOSA
Iteration: 700000
T: 100 
Running Time: 443.1 seconds
Distance; Skill Score; IsValid
20.62; 0.3821972103774538; True; 
20.71; 1.0476641946015608; True; 
25.41; 1.1763806922432707; True; 
27.65; 1.7811088357294658; True; 
33.48; 1.8810992183890178; True; 
34.24; 2.079543007402906; True; 
36.4; 2.6824158616773577; True; 
49.09; 2.8406705613334093; True; 
54.04; 3.3205616801952367; True; 
85.25; 3.4676081055836327; True; 
97.86; 3.505692507412199; True; 
100.6; 3.5630061870617933; True; 
103.9; 3.6745856023029138; True; 
112.5; 3.9751099896861604; True; 
127.6; 4.114944415712584; True; 
153.3; 4.279210512601395; True; 
159.6; 4.4815859363676225; True; 
197.6; 4.502427119984432; True; 
198.3; 4.610340711452157; True; 
211.3; 4.652052848248106; True; 
227.8; 4.657055852857104; True; 
237.8; 4.747100931364987; True; 
238.3; 4.800579621569129; True; 
243.4; 4.9641181431514845; True; 
276.1; 5.197831693328903; True; 
309; 5.216165902285994; True; 
342.5; 5.348499570283838; True; 
343; 5.518645524330312; True; 
392.4; 5.629511534200454; True; 
444.3; 5.676967814294759; True; 
497.2; 5.738225448142504; True; 
499.8; 5.862906213562999; True; 
565.4; 6.1156105116743; True; 
589.2; 6.257438566859814; True; 
678.7; 6.3643633546157306; True; 
730.1; 6.369957607346053; True; 
747; 6.83110156450136; True; 
1157; 7.009450895798694; True; 
1216; 7.013258665283517; True; 
1319; 7.04766419460156; True; 
1333; 7.0700378666077555; True; 
1337; 7.146438135285774; True; 
1379; 7.1476763242410986; True; 
