M: 18
Instance: 1
Algorithm: SPEA2
Iteration: 900
Population Size: 1000
Running Time: 6.38e+04 seconds
Distance; Skill Score; IsValid
34.51; 0.854488225044431; True; 
34.54; 0.9117965904372518; True; 
39.43; 1.1894903136993662; True; 
49.23; 1.9951084577447418; True; 
49.29; 2.0060379549973177; True; 
49.68; 2.0269416279590295; True; 
51.23; 2.1172712956557636; True; 
51.26; 2.1914510144648958; True; 
54.23; 2.6657685507193793; True; 
58.06; 2.676510710282553; True; 
63.13; 2.8891335559667244; True; 
64.83; 3.030194785356752; True; 
71.06; 3.4405942618398306; True; 
72.93; 3.494432898726398; True; 
75.85; 3.6612446089593345; True; 
79.43; 3.7426465899387367; True; 
84.75; 3.8148466686044635; True; 
91.51; 4.219322508419337; True; 
93.36; 4.221414237842339; True; 
106.5; 4.5777215245090215; True; 
