M: 14
Instance: 1
Algorithm: SPEA2
Iteration: 700
Population Size: 1000
Running Time: 3.375e+04 seconds
Distance; Skill Score; IsValid
15.16; 0.2372923375674585; True; 
17.13; 0.5318619490958092; True; 
18.81; 1.3001605369513527; True; 
19.54; 1.369586890736345; True; 
21.56; 1.4545399849648195; True; 
24.67; 1.7673785241141804; True; 
25.33; 2.1274287778515983; True; 
31.25; 2.5232260419657013; True; 
31.55; 2.5626496722119168; True; 
32.41; 2.6502103546603593; True; 
34.58; 2.844787718827847; True; 
34.92; 2.9988258190402863; True; 
39.37; 3.3188977146274876; True; 
42.57; 3.3273589343863303; True; 
42.88; 3.44870631990508; True; 
45.02; 3.4714384073892983; True; 
46.43; 3.493179120682516; True; 
47.29; 3.5853479110945905; True; 
48.11; 3.746712022516661; True; 
62.88; 4.299942900022767; True; 
65.59; 4.413299764081252; True; 
